# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-10-07 16:17:17 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03354000 WHITE RIVER NEAR CENTERTON, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03354000
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#    02   00065     Gage height, feet
#    03   00045     Precipitation, total, inches
#    04   00010     Temperature, water, degrees Celsius
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd	02_00065	02_00065_cd	03_00045	03_00045_cd	04_00010	04_00010_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03354000	2014-09-30 00:00	EST	735	P	0.75	P	0.00	P	21.3	P
USGS	03354000	2014-09-30 00:15	EST	735	P	0.75	P	0.00	P	21.2	P
USGS	03354000	2014-09-30 00:30	EST	735	P	0.75	P	0.00	P	21.2	P
USGS	03354000	2014-09-30 00:45	EST	735	P	0.75	P	0.00	P	21.1	P
USGS	03354000	2014-09-30 01:00	EST	735	P	0.75	P	0.00	P	21.1	P
USGS	03354000	2014-09-30 01:15	EST	735	P	0.75	P	0.00	P	21.0	P
USGS	03354000	2014-09-30 01:30	EST	735	P	0.75	P	0.00	P	21.0	P
USGS	03354000	2014-09-30 01:45	EST	735	P	0.75	P	0.00	P	20.9	P
USGS	03354000	2014-09-30 02:00	EST	735	P	0.75	P	0.00	P	20.9	P
USGS	03354000	2014-09-30 02:15	EST	735	P	0.75	P	0.00	P	20.8	P
USGS	03354000	2014-09-30 02:30	EST	735	P	0.75	P	0.00	P	20.8	P
USGS	03354000	2014-09-30 02:45	EST	735	P	0.75	P	0.00	P	20.7	P
USGS	03354000	2014-09-30 03:00	EST	735	P	0.75	P	0.00	P	20.6	P
USGS	03354000	2014-09-30 03:15	EST	735	P	0.75	P	0.00	P	20.6	P
USGS	03354000	2014-09-30 03:30	EST	735	P	0.75	P	0.00	P	20.5	P
USGS	03354000	2014-09-30 03:45	EST	742	P	0.76	P	0.00	P	20.5	P
USGS	03354000	2014-09-30 04:00	EST	742	P	0.76	P	0.00	P	20.4	P
USGS	03354000	2014-09-30 04:15	EST	742	P	0.76	P	0.00	P	20.3	P
USGS	03354000	2014-09-30 04:30	EST	735	P	0.75	P	0.00	P	20.3	P
USGS	03354000	2014-09-30 04:45	EST	742	P	0.76	P	0.00	P	20.2	P
USGS	03354000	2014-09-30 05:00	EST	742	P	0.76	P	0.00	P	20.2	P
USGS	03354000	2014-09-30 05:15	EST	742	P	0.76	P	0.00	P	20.1	P
USGS	03354000	2014-09-30 05:30	EST	742	P	0.76	P	0.00	P	20.1	P
USGS	03354000	2014-09-30 05:45	EST	742	P	0.76	P	0.00	P	20.0	P
USGS	03354000	2014-09-30 06:00	EST	742	P	0.76	P	0.00	P	20.0	P
USGS	03354000	2014-09-30 06:15	EST	742	P	0.76	P	0.00	P	19.9	P
USGS	03354000	2014-09-30 06:30	EST	742	P	0.76	P	0.00	P	19.9	P
USGS	03354000	2014-09-30 06:45	EST	742	P	0.76	P	0.00	P	19.9	P
USGS	03354000	2014-09-30 07:00	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 07:15	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 07:30	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 07:45	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 08:00	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 08:15	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 08:30	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 08:45	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 09:00	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 09:15	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 09:30	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 09:45	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 10:00	EST	742	P	0.76	P	0.00	P	19.8	P
